uid,pmcid,title,journal,pubdate,authors,doi
12515974,PMC12515974,"Immunotherapies for postural orthostatic tachycardia syndrome, other common autonomic disorders, and Long COVID: current state and future direction.",Front Cell Infect Microbiol,2025,Blitshteyn S; Funez-dePagnier G; Szombathy A; Hutchinson M,10.3389/fcimb.2025.1647203
12504783,PMC12504783,Therapeutic Plasma Exchange in Postural Tachycardia Syndrome (POTS).,Cureus,2025 Sep,Baykara Y; Akgun Y,10.7759/cureus.91804
12495029,PMC12495029,Monitoring of cardiorespiratory vagal desynchrony using novel biomarkers derived from smartwatch electrocardiograms in a patient recovering from long COVID: case report.,Eur Heart J Case Rep,2025 Oct,Kranck G; Ståhlberg M; Andersson U; Lundin J; Fedorowski A,10.1093/ehjcr/ytaf425
12462795,PMC12462795,Autoimmune/inflammatory syndrome induced by adjuvants (ASIA) with postural orthostatic tachycardia syndrome after silicone breast implantation: Case report.,Eur J Rheumatol,2023 Jan,de Carvalho JF; de Oliveira CBA; Boas RV; Matias MFV; Bastos LMC,10.5152/eurjrheum.2022.21108
12441330,PMC12441330,A Case of Postural Orthostatic Tachycardia Syndrome in a 20-Year-Old Female Athlete: Review of Ivabradine Guidelines.,JACC Case Rep,2025 Jul 16,Boyapalli S; Alvarado GA; Avanthsa U; Nagi A; Manouchehri S; Testa K; Sumalbag J; Pietras RJ; Ben-Zur UM,10.1016/j.jaccas.2025.104167
12409755,PMC12409755,Anesthetic Management of a Pregnant Patient With Ehlers-Danlos Syndrome Undergoing Elective Cesarean Delivery: A Case Report.,Cureus,2025 Aug,Aljuba YM; Shatalin D; Ronenson A; Grenader A; Ioscovich A,10.7759/cureus.89400
12399260,PMC12399260,Characterization of Postural Orthostatic Tachycardia Syndrome in Long COVID: Self-reported Data From the LISTEN Study.,JACC Adv,2025 Aug,Al Mouslmani M; Sawano M; Arun AS; Wu Y; Shah RM; Kaleem S; Zhou T; Murugiah K; Lu Y; Herrin J; Bishop P; Taub P; Peixoto AJ; Bhattacharjee B; Iwasaki A; Krumholz HM,10.1016/j.jacadv.2025.101873
12335401,PMC12335401,Two-year follow-up on multisystem inflammatory syndrome in children (MIS-c): findings from a tertiary paediatric hospital in Latvia.,Eur J Pediatr,2025 Aug 9,Roge-Gurecka I; Kivite-Urtane A; Pavare J,10.1007/s00431-025-06253-y
12294965,PMC12294965,Effectiveness of Sunn Hemp (Crotalaria juncea L.) in Reducing Wireworm Damage in Potatoes.,Insects,2025 Jun 27,Furlan L; Bona S; Matteo R; Lazzeri L; Benvegnù I; Casadei N; Caprai E; Prizio I; Parisi B,10.3390/insects16070674
12280984,PMC12280984,Patient-reported treatment outcomes in ME/CFS and long COVID.,Proc Natl Acad Sci U S A,2025 Jul 15,Eckey M; Li P; Morrison B; Bergquist J; Davis RW; Xiao W,10.1073/pnas.2426874122
12283190,PMC12283190,The Long-Term Postural Orthostatic Tachycardia Syndrome Outcomes Survey-Gynecologic Findings: A Cross-Sectional Survey in Young Women.,Obstet Gynecol Int,2025,Boris JR; Shadiack EC 3rd; McCormick EM; MacMullen LE; George-Sankoh I; Fitzgerald F; Falk M,10.1155/ogi/8872884
12225415,PMC12225415,Postural Orthostatic Tachycardia Syndrome (POTS) as an Adverse Event to the Human Papilloma Virus (HPV) Vaccine and Its Relationship with Ehlers-Danlos Syndrome (EDS).,Reports (MDPI),2024 May 12,Schipperijn N; Wijesinghe M; Romo A; Brooks B,10.3390/reports7020036
12245418,PMC12245418,Plug-and-Play Mitral Regurgitation: Not a Lid for All Pots.,JACC Case Rep,2025 May 7,Denti P,10.1016/j.jaccas.2024.103212
12197400,PMC12197400,Cardiopulmonary Effects of COVID-19 Vaccination: A Comprehensive Narrative Review.,Vaccines (Basel),2025 May 22,Forchette LT; Palma L; Sanchez C; Gibons RM; Stephenson-Moe CA; Behers BJ,10.3390/vaccines13060548
12148095,PMC12148095,Autoimmune Antibodies in Orthostatic Intolerance Syndromes.,Physiol Res,2025 Apr 30,Lukáčová M; Mitro P; Lazúrová Z; Hijová E; Bertková I; Valová K,10.33549/physiolres.935504
12112802,PMC12112802,The Involvement and Manifestations of SARS-CoV-2 Virus in Cardiovascular Pathology.,Medicina (Kaunas),2025 Apr 22,Hărșan ST; Sin AI,10.3390/medicina61050773
12071195,PMC12071195,Impact of exercise to treat postural orthostatic tachycardia syndrome: a systematic review.,Front Neurol,2025,Cortez MM; Aikins K; Arnold AC; Boris JR; Davenport TE; Johnson K; Kattaya HS; Kinsella L; McFarland MM; Pelo R; Powers CD; Schiltz K; Stiles LE; Ziaks L; Chung TH; Dal Molin C,10.3389/fneur.2025.1567708
11775448,PMC11775448,Oral medications for the treatment of postural orthostatic tachycardia syndrome; a systematic review of studies before and during the COVID-19 pandemic.,Front Neurol,2024,Pierson BC; Apilado K; Franzos MA; Allard R; Mancuso JD; Tribble D; Saunders D; Koehlmoos TP,10.3389/fneur.2024.1515486
11771442,PMC11771442,P-18 THREE BODY PROBLEM PATIENT: EHLER DANLOS SYNDROME COMBINED WITH HYPOPHOSPHATASIA AND FATTY ACID OXIDATION DEFECT.,JCEM Case Rep,2025 Jan,Salva H; Yavuz DG,10.1210/jcemcr/luae218.021
11650402,PMC11650402,"A machine learning approach to stratify patients with hypermobile Ehlers-Danlos syndrome/hypermobility spectrum disorders according to disorders of gut brain interaction, comorbidities and quality of life.",Neurogastroenterol Motil,2025 Jan,Choudhary A; Fikree A; Ruffle JK; Takahashi K; Palsson OS; Aziz I; Aziz Q,10.1111/nmo.14957
11646465,PMC11646465,Exercise Interventions in the Management of Postural Orthostatic Tachycardia Syndrome: A Scoping Review.,J Multidiscip Healthc,2024,Gonçalves Leite Rocco P; Reategui-Rivera CM; Finkelstein J,10.2147/JMDH.S495088
11608111,PMC11608111,Conservative Management of Cervicogenic Dizziness Associated With Upper Cervical Instability and Postural Orthostatic Tachycardia Syndrome: A Case Report.,Cureus,2024 Oct,Trager RJ; Schuster A; Tao C; Zamary G,10.7759/cureus.72765
11565627,PMC11565627,A Case of Post-malarial Postural Orthostatic Tachycardia Syndrome in a Young Woman of South Asian Origin.,Cureus,2024 Oct,Barua M,10.7759/cureus.71606
11562304,PMC11562304,Postural orthostatic tachycardia syndrome after COVID-19 vaccination: A systematic review.,BMC Cardiovasc Disord,2024 Nov 13,Bushi G; Gaidhane S; Ballal S; Kumar S; Bhat M; Sharma S; Kumar MR; Rustagi S; Khatib MN; Rai N; Sah S; Shabil M,10.1186/s12872-024-04315-x
11440135,PMC11440135,Postural orthostatic tachycardia syndrome after radiofrequency catheter ablation in the atrioventricular junction-An uncommon and often unrecognized complication.,HeartRhythm Case Rep,2024 Sep,Lypourlis D; Agarwal R,10.1016/j.hrcr.2024.06.003
11410636,PMC11410636,Long COVID and hypermobility spectrum disorders have shared pathophysiology.,Front Neurol,2024,Ganesh R; Munipalli B,10.3389/fneur.2024.1455498
11270463,PMC11270463,Cardiovascular Disease in Post-Acute COVID-19 Syndrome: A Comprehensive Review of Pathophysiology and Diagnosis Approach.,Rev Cardiovasc Med,2023 Jan,Kusumawardhani NY; Putra ICS; Kamarullah W; Afrianti R; Pramudyo M; Iqbal M; Prameswari HS; Achmad C; Tiksnadi BB; Akbar MR,10.31083/j.rcm2401028
11276651,PMC11276651,Stress-Related Chronic Fatigue Syndrome: A Case Report with a Positive Response to Alpha-Methyl-P-Tyrosine (AMPT) Treatment.,Int J Mol Sci,2024 Jul 16,Ljungström M; Oltra E; Pardo M,10.3390/ijms25147778
11095771,PMC11095771,Management of childbearing with hypermobile Ehlers-Danlos syndrome and hypermobility spectrum disorders: A scoping review and expert co-creation of evidence-based clinical guidelines.,PLoS One,2024,Pezaro S; Brock I; Buckley M; Callaway S; Demirdas S; Hakim A; Harris C; High Gross C; Karanfil M; Le Ray I; McGillis L; Nasar B; Russo M; Ryan L; Blagowidow N,10.1371/journal.pone.0302401
11050777,PMC11050777,The Role of Heparin in Postural Orthostatic Tachycardia Syndrome and Other Post-Acute Sequelae of COVID-19.,J Clin Med,2024 Apr 20,Gómez-Moyano E; Pavón-Morón J; Rodríguez-Capitán J; Bardán-Rebollar D; Ramos-Carrera T; Villalobos-Sánchez A; Pérez de Pedro I; Ruiz-García FJ; Mora-Robles J; López-Sampalo A; Pérez-Velasco MA; Bernal-López MR; Gómez-Huelgas R; Jiménez-Navarro M; Romero-Cuevas M; Costa F; Trenas A; Pérez-Belmonte LM,10.3390/jcm13082405
11051445,PMC11051445,Autoimmunity in Syndromes of Orthostatic Intolerance: An Updated Review.,J Pers Med,2024 Apr 20,Pena C; Moustafa A; Mohamed AR; Grubb B,10.3390/jpm14040435
10990027,PMC10990027,Complete remission with histamine blocker in a patient with intractable hyperadrenergic postural orthostatic tachycardia syndrome secondary to long coronavirus disease syndrome.,J Hypertens,2024 May 1,González-Alvarez F; Estañol B; González-Hermosillo JA; Gómez-Pérez FJ; Tamez-Torres KM; Peña E; Cantú C; Chiquete E; Sifuentes-Osornio J; Alba-Lorenzo MDC; Celestino-Montelongo DA; Salazar-Calderón GE; Aceves Buendia JJ,10.1097/HJH.0000000000003669
10981078,PMC10981078,"Myocarditis, Coagulopathy, and Small Fibre, Sensory, and Multiple Cranial Nerve Neuropathy Complicating BNT162b2 Vaccination: A Case Report.",Cureus,2024 Feb,Finsterer J,10.7759/cureus.55205
10849078,PMC10849078,Radiofrequency venous ablation for symptomatic relief in postural orthostatic tachycardia syndrome: a case series.,Eur Heart J Case Rep,2024 Feb,McGeoch CLB; Steinberg RS; Bortfeld KS; Almuwaqqat Z; Rheudasil JM; Bhatia NK; Cutchins AC,10.1093/ehjcr/ytae029
10767774,PMC10767774,"""When,"" ""Where,"" and ""How"" of SARS-CoV-2 Infection Affects the Human Cardiovascular System: A Narrative Review.",Balkan Med J,2024 Jan 3,Kounis NG; Gogos C; de Gregorio C; Hung MY; Kounis SN; Tsounis EP; Assimakopoulos SF; Pourmasumi S; Mplani V; Servos G; Dousdampanis P; Plotas P; Michalaki MA; Tsigkas G; Grammatikopoulos G; Velissaris D; Koniar I,10.4274/balkanmedj.galenos.2023.2023-10-25
10762669,PMC10762669,Non-invasive Vagus Nerve Simulation in Postural Orthostatic Tachycardia Syndrome.,Arrhythm Electrophysiol Rev,2023,Chakraborty P; Farhat K; Morris L; Whyte S; Yu X; Stavrakis S,10.15420/aer.2023.20
10755912,PMC10755912,Evaluation and management of orthostatic headache in hypermobility disorders.,Front Neurol,2023,Fermo OP,10.3389/fneur.2023.1321350
10562791,PMC10562791,Tolerability of COVID-19 mRNA vaccines in patients with postural tachycardia syndrome: a cross-sectional study.,F1000Res,2022,Jost K; Rodriguez B; Söll N; Hoepner R; Z'Graggen WJ,10.12688/f1000research.109373.1
10481607,PMC10481607,Impaired parasympathetic function in long-COVID postural orthostatic tachycardia syndrome - a case-control study.,Bioelectron Med,2023 Sep 6,Rigo S; Urechie V; Diedrich A; Okamoto LE; Biaggioni I; Shibao CA,10.1186/s42234-023-00121-6
10467287,PMC10467287,Postural orthostatic tachycardia syndrome and other related dysautonomic disorders after SARS-CoV-2 infection and after COVID-19 messenger RNA vaccination.,Front Neurol,2023,Gómez-Moyano E; Rodríguez-Capitán J; Gaitán Román D; Reyes Bueno JA; Villalobos Sánchez A; Espíldora Hernández F; González Angulo GE; Molina Mora MJ; Thurnhofer-Hemsi K; Molina-Ramos AI; Romero-Cuevas M; Jiménez-Navarro M; Pavón-Morón FJ,10.3389/fneur.2023.1221518
10464593,PMC10464593,Case report of long-term postural tachycardia syndrome in a patient after messenger RNA coronavirus disease-19 vaccination with mRNA-1273.,Eur Heart J Case Rep,2023 Aug,Reiner MF; Schmidt D; Frischknecht L; Ruschitzka F; Duru F; Saguner AM,10.1093/ehjcr/ytad390
10382909,PMC10382909,Postural Orthostatic Tachycardia Syndrome in Spinal Cord Injury.,Cureus,2023 Jun,Yadav A; Yadav RK; Neyaz O; Sherin P P S; Gupta A,10.7759/cureus.41124
10357168,PMC10357168,Postural orthostatic tachycardia syndrome-like symptoms following COVID-19 vaccination: An overview of clinical literature.,Hum Antibodies,2023,Tv P; Tran TT; Hao HT; Hau NTH; Jain N; Reinis A,10.3233/HAB-220013
10332885,PMC10332885,COVID-19-Induced Postural Orthostatic Tachycardia Syndrome and Dysautonomia.,Cureus,2023 Jun,Minhas R; Bharadwaj AS,10.7759/cureus.40235
10259876,PMC10259876,Choices and Challenges With Drug Therapy in Postural Orthostatic Tachycardia Syndrome: A Systematic Review.,Cureus,2023 May,Vasavada AM; Verma D; Sheggari V; Ghetiya S; Chirumamilla PC; Kotak RA; Mahapatra SS; Patel T; Jain M,10.7759/cureus.38887
10224806,PMC10224806,Autoimmunity in Long Covid and POTS.,Oxf Open Immunol,2023,El-Rhermoul FZ; Fedorowski A; Eardley P; Taraborrelli P; Panagopoulos D; Sutton R; Lim PB; Dani M,10.1093/oxfimm/iqad002
10208411,PMC10208411,"Female reproductive health impacts of Long COVID and associated illnesses including ME/CFS, POTS, and connective tissue disorders: a literature review.",Front Rehabil Sci,2023,Pollack B; von Saltza E; McCorkell L; Santos L; Hultman A; Cohen AK; Soares L,10.3389/fresc.2023.1122673
10199303,PMC10199303,Acute and Post-Acute COVID-19 Cardiovascular Complications: A Comprehensive Review.,Cardiovasc Drugs Ther,2024 Oct,Kole C; Stefanou Ε; Karvelas N; Schizas D; Toutouzas KP,10.1007/s10557-023-07465-w
10187582,PMC10187582,"Postural Orthostatic Tachycardia Syndrome in COVID-19: A Contemporary Review of Mechanisms, Clinical Course and Management.",Vasc Health Risk Manag,2023,Narasimhan B; Calambur A; Moras E; Wu L; Aronow W,10.2147/VHRM.S380270
10149087,PMC10149087,Manual Therapy and Exercise for the Management of Chronic Neck Pain With Multiple Neurovascular Comorbidities: A Case Report.,Cureus,2023 Mar,Mayo Z; Keating C,10.7759/cureus.36961
10090716,PMC10090716,Post-acute sequelae of SARS-CoV-2 syndrome presenting as postural orthostatic tachycardia syndrome.,Clin Exp Emerg Med,2023 Mar,Diekman S; Chung T,10.15441/ceem.22.409
10065129,PMC10065129,COVID-19 Induced Postural Orthostatic Tachycardia Syndrome (POTS): A Review.,Cureus,2023 Mar,Mallick D; Goyal L; Chourasia P; Zapata MR; Yashi K; Surani S,10.7759/cureus.36955
10032659,PMC10032659,Pathogenic mechanisms of post-acute sequelae of SARS-CoV-2 infection (PASC).,Elife,2023 Mar 22,Sherif ZA; Gomez CR; Connors TJ; Henrich TJ; Reeves WB; RECOVER Mechanistic Pathway Task Force,10.7554/eLife.86002
9963391,PMC9963391,Suspected COVID-19 mRNA Vaccine-Induced Postural Orthostatic Tachycardia Syndrome.,Cureus,2023 Jan,Maharaj N; Swarath S; Seecheran R; Seecheran V; Panday A; Seecheran N,10.7759/cureus.34236
9871405,PMC9871405,A case of dysautonomia after COVID-19 infection in a patient with poorly controlled type I diabetes.,Clin Case Rep,2023 Jan,Aitkens L; Downey G,10.1002/ccr3.6889
9839201,PMC9839201,"Long COVID: major findings, mechanisms and recommendations.",Nat Rev Microbiol,2023 Mar,Davis HE; McCorkell L; Vogel JM; Topol EJ,10.1038/s41579-022-00846-2
9821608,PMC9821608,Autonomic Nerve Involvement in Post-Acute Sequelae of SARS-CoV-2 Syndrome (PASC).,J Clin Med,2022 Dec 22,Chung TH; Azar A,10.3390/jcm12010073
9795856,PMC9795856,POTS and Pregnancy: A Review of Literature and Recommendations for Evaluation and Treatment.,Int J Womens Health,2022,Morgan K; Smith A; Blitshteyn S,10.2147/IJWH.S366667
9732766,PMC9732766,Postural orthostatic tachycardia syndrome and orthostatic hypotension in post-acute sequelae of COVID-19 during pregnancy: a case report.,Eur Heart J Case Rep,2022 Dec,Hanson J; Richley M; Hsu JJ; Lin J; Afshar Y,10.1093/ehjcr/ytac453
9602558,PMC9602558,Long-Haul COVID Patients: Prevalence of POTS Are Reduced but Cerebral Blood Flow Abnormalities Remain Abnormal with Longer Disease Duration.,Healthcare (Basel),2022 Oct 21,Campen CLMCV; Visser FC,10.3390/healthcare10102105
9548822,PMC9548822,COVID-19-INDUCED POSTURAL ORTHOSTATIC TACHYCARDIA SYNDROME.,Chest,2022 Oct,KHAN A,10.1016/j.chest.2022.08.388
9498034,PMC9498034,Clogmia albipunctata (Nematocera; Psychodidae) as the Etiologic Agent of Myiasis: True or False?,Diagnostics (Basel),2022 Sep 1,Akhoundi M; Ranorohasimanana NM; Brun S; Kauffmann-Lacroix C; Izri A,10.3390/diagnostics12092129
9444584,PMC9444584,Clinical cardiovascular emergencies and the cellular basis of COVID-19 vaccination: from dream to reality?,Int J Infect Dis,2022 Nov,Li YE; Wang S; Reiter RJ; Ren J,10.1016/j.ijid.2022.08.026
9413809,PMC9413809,What Works for One May Not Work for Another: A New Warning for Modafinil.,Cureus,2022 Jul,Kim H; Ayele GM; Atalay RT; Hussien S; Tewoldemedhin B; Michael MB; Scharf SM,10.7759/cureus.27287
9345651,PMC9345651,COVID-19 vaccination in patients with long QT syndrome.,Heart Rhythm O2,2022 Dec,Wu CI; Schwartz PJ; Ackerman MJ; Wilde AAM,10.1016/j.hroo.2022.07.011
9323926,PMC9323926,COVID-19 Vaccination Might Induce Postural Orthostatic Tachycardia Syndrome: A Case Report.,Vaccines (Basel),2022 Jun 22,Hermel M; Sweeney M; Abud E; Luskin K; Criado JP; Bonakdar R; Gray J; Ahern T,10.3390/vaccines10070991
9287587,PMC9287587,Postural orthostatic tachycardia syndrome as a sequela of COVID-19.,Heart Rhythm,2022 Nov,Ormiston CK; Świątkiewicz I; Taub PR,10.1016/j.hrthm.2022.07.014
9270602,PMC9270602,MEN2B Masquerading as Postural Orthostatic Tachycardia Syndrome.,JACC Case Rep,2022 Jul 6,Khan G; Giacona J; Mirfakhraee S; Vernino S; Vongpatanasin W,10.1016/j.jaccas.2022.04.009
9208536,PMC9208536,A case of transient POTS following COVID-19 vaccine.,Acta Neurol Belg,2022 Aug,Park J; Kim S; Lee J; An JY,10.1007/s13760-022-02002-2
9174810,PMC9174810,Intermittent left bundle branch block with septal flash and postural orthostatic tachycardia syndrome in a young woman with long COVID-19.,BMJ Case Rep,2022 Jun 7,Kitsou V; Blomberg B; Lunde T; Saeed S,10.1136/bcr-2022-249608
9131024,PMC9131024,May-Thurner syndrome in patients with postural orthostatic tachycardia syndrome and Ehlers-Danlos syndrome: a case series.,Eur Heart J Case Rep,2022 Apr,Ormiston CK; Padilla E; Van DT; Boone C; You S; Roberts AC; Hsiao A; Taub PR,10.1093/ehjcr/ytac161
9122800,PMC9122800,"Idiopathic osteoporosis, Ehlers-Danlos syndrome, postural orthostatic tachycardia syndrome, and mast cell activation disorder in a 27-year-old male patient: A unique case presentation.",Clin Case Rep,2022 May,Rattray C,10.1002/ccr3.5887
9021422,PMC9021422,"Case Report, Practices Survey and Literature Review of an Under-Recognized Pediatric Vascular Disorder: The BASCULE Syndrome.",Front Pediatr,2022,Baurens N; Briand C; Giovannini-Chami L; De Guillebon De Resnes JM; Hubiche T; Chiaverini C; Giordana P; Leftheriotis G; Bernardor J,10.3389/fped.2022.849914
8976261,PMC8976261,Prospective Evaluation of Autonomic Dysfunction in Post-Acute Sequela of COVID-19.,J Am Coll Cardiol,2022 Jun 14,Jamal SM; Landers DB; Hollenberg SM; Turi ZG; Glotzer TV; Tancredi J; Parrillo JE,10.1016/j.jacc.2022.03.357
8931464,PMC8931464,Orthostatic Intolerance in Adults Reporting Long COVID Symptoms Was Not Associated With Postural Orthostatic Tachycardia Syndrome.,Front Physiol,2022,Monaghan A; Jennings G; Xue F; Byrne L; Duggan E; Romero-Ortuno R,10.3389/fphys.2022.833650
8866568,PMC8866568,Evaluating the Impact of Orthostatic Syncope and Presyncope on Quality of Life: A Systematic Review and Meta-Analysis.,Front Cardiovasc Med,2022,Hockin BCD; Heeney ND; Whitehurst DGT; Claydon VE,10.3389/fcvm.2022.834879
8779641,PMC8779641,Post-HPV-Vaccination Mast Cell Activation Syndrome: Possible Vaccine-Triggered Escalation of Undiagnosed Pre-Existing Mast Cell Disease?,Vaccines (Basel),2022 Jan 16,Afrin LB; Dempsey TT; Weinstock LB,10.3390/vaccines10010127
8778312,PMC8778312,Orthostatic Symptoms and Reductions in Cerebral Blood Flow in Long-Haul COVID-19 Patients: Similarities with Myalgic Encephalomyelitis/Chronic Fatigue Syndrome.,Medicina (Kaunas),2021 Dec 24,Campen CLMCV; Rowe PC; Visser FC,10.3390/medicina58010028
8716749,PMC8716749,COVID-19 and postural tachycardia syndrome: a case series.,Eur Heart J Case Rep,2021 Dec,Parker WH; Moudgil R; Wilson RG; Tonelli AR; Mayuga KA; Singh TK,10.1093/ehjcr/ytab325
8679991,PMC8679991,Arrhythmias in COVID-19.,Methodist Debakey Cardiovasc J,2021,Pandat S; Zhu Z; Fuentes-Rojas S; Schurmann P,10.14797/mdcvj.1039
8721424,PMC8721424,"Quadruple-negative RT-PCR assay for COVID-19, but clinically and radiologically COVID pneumonia with POTS: Case report and case-based review.",SAGE Open Med Case Rep,2021,Rajendran N; Rameli PM; Collins G,10.1177/2050313X211066647
8687482,PMC8687482,Postural orthostatic tachycardia syndrome: A conundrum for patients and healthcare providers.,Nurse Pract,2022 Jan 1,Cline HM; Einhardt A,10.1097/01.NPR.0000802968.90212.70
8621226,PMC8621226,Post-Acute Sequelae of COVID-19 and Cardiovascular Autonomic Dysfunction: What Do We Know?,J Cardiovasc Dev Dis,2021 Nov 15,Bisaccia G; Ricci F; Recce V; Serio A; Iannetti G; Chahal AA; Ståhlberg M; Khanji MY; Fedorowski A; Gallina S,10.3390/jcdd8110156
8575340,PMC8575340,Perioperative Management of Ehlers-Danlos Type III Syndrome Associated With Postural Orthostatic Tachycardia in Patients Undergoing General Anesthesia.,Cureus,2021 Nov,Laserna A; Nishtar M; Vidovich C; Borovcanin Z,10.7759/cureus.19311
8506054,PMC8506054,Midodrine overdose in children: a case report and review of treatment for hypertensive emergencies.,Transl Pediatr,2021 Sep,Jan M; Brothers E; Nakagawa TA,10.21037/tp-21-153
8510689,PMC8510689,"Recommendations for the recognition, diagnosis, and management of long COVID: a Delphi study.",Br J Gen Pract,2021 Nov,Nurek M; Rayner C; Freyer A; Taylor S; Järte L; MacDermott N; Delaney BC; Delphi panellists,10.3399/BJGP.2021.0265
8555928,PMC8555928,Management of Long-COVID Postural Orthostatic Tachycardia Syndrome With Enhanced External Counterpulsation.,Cureus,2021 Sep,Varanasi S; Sathyamoorthy M; Chamakura S; Shah SA,10.7759/cureus.18398
