uid,pmcid,title,journal,pubdate,doi
10065129,PMC10065129,COVID-19 Induced Postural Orthostatic Tachycardia Syndrome (POTS): A Review.,Cureus,2023 Mar,10.7759/cureus.36955
9789535,PMC9789535,Investigating the possible mechanisms of autonomic dysfunction post-COVID-19.,Auton Neurosci,2023 Mar,10.1016/j.autneu.2022.103071
9732766,PMC9732766,Postural orthostatic tachycardia syndrome and orthostatic hypotension in post-acute sequelae of COVID-19 during pregnancy: a case report.,Eur Heart J Case Rep,2022 Dec,10.1093/ehjcr/ytac453
9602558,PMC9602558,Long-Haul COVID Patients: Prevalence of POTS Are Reduced but Cerebral Blood Flow Abnormalities Remain Abnormal with Longer Disease Duration.,Healthcare (Basel),2022 Oct 21,10.3390/healthcare10102105
9450930,PMC9450930,Orthostatic and Exercise Intolerance in Recreational and Competitive Athletes With Long COVID.,JACC Case Rep,2022 Sep 7,10.1016/j.jaccas.2022.07.007
9413809,PMC9413809,What Works for One May Not Work for Another: A New Warning for Modafinil.,Cureus,2022 Jul,10.7759/cureus.27287
9413925,PMC9413925,An unusual presentation of anaphylaxis with severe hypertension: a case report.,J Med Case Rep,2022 Aug 26,10.1186/s13256-022-03528-y
9364197,PMC9364197,Effectiveness of treatment for 31 patients with seropositive autoimmune autonomic ganglionopathy in Japan.,Ther Adv Neurol Disord,2022,10.1177/17562864221110048
9287587,PMC9287587,Postural orthostatic tachycardia syndrome as a sequela of COVID-19.,Heart Rhythm,2022 Nov,10.1016/j.hrthm.2022.07.014
9021422,PMC9021422,"Case Report, Practices Survey and Literature Review of an Under-Recognized Pediatric Vascular Disorder: The BASCULE Syndrome.",Front Pediatr,2022,10.3389/fped.2022.849914
8976261,PMC8976261,Prospective Evaluation of Autonomic Dysfunction in Post-Acute Sequela of COVID-19.,J Am Coll Cardiol,2022 Jun 14,10.1016/j.jacc.2022.03.357
8931464,PMC8931464,Orthostatic Intolerance in Adults Reporting Long COVID Symptoms Was Not Associated With Postural Orthostatic Tachycardia Syndrome.,Front Physiol,2022,10.3389/fphys.2022.833650
8892817,PMC8892817,Severe Post-COVID-19 dysautonomia: a case report.,BMC Infect Dis,2022 Mar 3,10.1186/s12879-022-07181-0
8780476,PMC8780476,A case report of severe cardioinhibitory reflex syncope associated with coronavirus disease 2019.,Eur Heart J Case Rep,2022 Jan,10.1093/ehjcr/ytab524
8781100,PMC8781100,Compression Stockings Improve Cardiac Output and Cerebral Blood Flow during Tilt Testing in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) Patients: A Randomized Crossover Trial.,Medicina (Kaunas),2021 Dec 29,10.3390/medicina58010051
8778312,PMC8778312,Orthostatic Symptoms and Reductions in Cerebral Blood Flow in Long-Haul COVID-19 Patients: Similarities with Myalgic Encephalomyelitis/Chronic Fatigue Syndrome.,Medicina (Kaunas),2021 Dec 24,10.3390/medicina58010028
8621226,PMC8621226,Post-Acute Sequelae of COVID-19 and Cardiovascular Autonomic Dysfunction: What Do We Know?,J Cardiovasc Dev Dis,2021 Nov 15,10.3390/jcdd8110156
8575340,PMC8575340,Perioperative Management of Ehlers-Danlos Type III Syndrome Associated With Postural Orthostatic Tachycardia in Patients Undergoing General Anesthesia.,Cureus,2021 Nov,10.7759/cureus.19311
8402449,PMC8402449,A Long-Term Observation on the Possible Adverse Effects in Japanese Adolescent Girls after Human Papillomavirus Vaccination.,Vaccines (Basel),2021 Aug 4,10.3390/vaccines9080856
8347138,PMC8347138,Patients with Persistent Polyclonal B-Cell Lymphocytosis Share the Symptomatic Criteria of Systemic Exertion Intolerance Disease.,J Clin Med,2021 Jul 29,10.3390/jcm10153374
8121406,PMC8121406,Dysautonomia: A Forgotten Condition - Part 1.,Arq Bras Cardiol,2021 Apr,10.36660/abc.20200420
8076737,PMC8076737,COVID-19 Dysautonomia.,Front Neurol,2021,10.3389/fneur.2021.624968
7803043,PMC7803043,Initial orthostatic hypotension and orthostatic intolerance symptom prevalence in older adults: A systematic review.,Int J Cardiol Hypertens,2021 Mar,10.1016/j.ijchy.2020.100071
8050227,PMC8050227,Autonomic dysfunction following COVID-19 infection: an early experience.,Clin Auton Res,2021 Jun,10.1007/s10286-021-00803-8
7936931,PMC7936931,Is postural orthostatic tachycardia syndrome (POTS) a central nervous system disorder?,J Neurol,2022 Feb,10.1007/s00415-021-10502-z
7888977,PMC7888977,Postural orthostatic tachycardia syndrome following open thoracoabdominal aortic aneurysm repair.,J Surg Case Rep,2021 Feb,10.1093/jscr/rjab012
7792263,PMC7792263,Serum Activity Against G Protein-Coupled Receptors and Severity of Orthostatic Symptoms in Postural Orthostatic Tachycardia Syndrome.,J Am Heart Assoc,2020 Aug 4,10.1161/JAHA.120.015989
7391812,PMC7391812,Review of case definitions for myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).,J Transl Med,2020 Jul 29,10.1186/s12967-020-02455-0
7073977,PMC7073977,Cardiac Autonomic Dysfunction in Multiple Sclerosis: A Systematic Review of Current Knowledge and Impact of Immunotherapies.,J Clin Med,2020 Jan 24,10.3390/jcm9020335
5926514,PMC5926514,Postural Tachycardia Syndrome and Vasovagal Syncope: A Hidden Case of Obstructive Cardiomyopathy without Severe Septal Hypertrophy.,Case Rep Cardiol,2018,10.1155/2018/8714819
5796598,PMC5796598,Improvement of severe myalgic encephalomyelitis/chronic fatigue syndrome symptoms following surgical treatment of cervical spinal stenosis.,J Transl Med,2018 Feb 2,10.1186/s12967-018-1397-7
5688202,PMC5688202,Suspected Adverse Effects After Human Papillomavirus Vaccination: A Temporal Relationship Between Vaccine Administration and the Appearance of Symptoms in Japan.,Drug Saf,2017 Dec,10.1007/s40264-017-0574-6
5474682,PMC5474682,Myalgic Encephalomyelitis/Chronic Fatigue Syndrome Diagnosis and Management in Young People: A Primer.,Front Pediatr,2017,10.3389/fped.2017.00121
5058431,PMC5058431,A Pair of Identical Twins Discordant for Myalgic Encephalomyelitis/Chronic Fatigue Syndrome Differ in Physiological Parameters and Gut Microbiome Composition.,Am J Case Rep,2016 Oct 10,10.12659/ajcr.900314
4502630,PMC4502630,A Case Report and Review of Postural Orthostatic Tachycardia Syndrome in Pregnancy.,AJP Rep,2015 Apr,10.1055/s-0034-1544106
4452321,PMC4452321,Treatment of Refractory Postural Tachycardia Syndrome with Subcutaneous Octreotide Delivered Using an Insulin Pump.,Case Rep Med,2015,10.1155/2015/545029
4390387,PMC4390387,Clinical prodromes of neurodegeneration in Anderson-Fabry disease.,Neurology,2015 Apr 7,10.1212/WNL.0000000000001450
4015480,PMC4015480,"A man with small vessel vasculitis presenting with brachial diplegia, multiple cranial mononeuropathies and severe orthostatic hypotension in diabetes mellitus: a case report.",J Med Case Rep,2013 Oct 1,10.1186/1752-1947-7-229
