uid,pmcid,title,journal,pubdate,doi
12230505,PMC12230505,Immune Checkpoint Inhibitor-Related Dysautonomia in Merkel Cell Carcinoma: A Case Report.,Cancer Rep (Hoboken),2025 Jul,10.1002/cnr2.70274
12060790,PMC12060790,Atypical Presentation of an LMNB1 Duplication Involving the Silencer Region: Beyond Classical Autosomal-Dominant Leukodystrophy.,Neurol Genet,2025 Jun,10.1212/NXG.0000000000200261
12042689,PMC12042689,An interesting case of subacute sclerosing panencephalitis presenting with Balint's syndrome and dysautonomia.,Encephalitis,2025 Apr,10.47936/encephalitis.2024.00115
12009460,PMC12009460,Outcome of Early Cranioplasty in Trephine Syndrome or Paradoxical Brain Herniation: A Case Report and Literature Review.,Cureus,2025 Mar,10.7759/cureus.80922
11878880,PMC11878880,Progressive Encephalomyelitis with Rigidity and Myoclonus Treated with Rituximab: Case Report and Review of the Literature.,Brown J Hosp Med,2022,10.56305/001c.36139
11843942,PMC11843942,Acute Hepatic Porphyria Should Be Included in the Diagnostic Work-Up of Patients with Resistant Hypertension or Suspected Secondary Hypertension.,Med Sci (Basel),2025 Feb 6,10.3390/medsci13010014
11805607,PMC11805607,Novel Approaches to Treatment of Immune-Mediated Chronic Intestinal Pseudo-Obstruction.,Neurol Neuroimmunol Neuroinflamm,2025 Mar,10.1212/NXI.0000000000200369
11789910,PMC11789910,Stüve-Wiedemann syndrome with a novel variant in the LIFR gene: A case report.,Medicine (Baltimore),2025 Jan 31,10.1097/MD.0000000000041342
11775448,PMC11775448,Oral medications for the treatment of postural orthostatic tachycardia syndrome; a systematic review of studies before and during the COVID-19 pandemic.,Front Neurol,2024,10.3389/fneur.2024.1515486
11706303,PMC11706303,An Unexpected Case of Generalized Tetanus.,Cureus,2024 Dec,10.7759/cureus.75326
11654115,PMC11654115,Zika virus infection and acute transverse myelitis: a comprehensive systematic review.,Rev Inst Med Trop Sao Paulo,2024,10.1590/S1678-9946202466066
11650402,PMC11650402,"A machine learning approach to stratify patients with hypermobile Ehlers-Danlos syndrome/hypermobility spectrum disorders according to disorders of gut brain interaction, comorbidities and quality of life.",Neurogastroenterol Motil,2025 Jan,10.1111/nmo.14957
11638589,PMC11638589,The ligamentous cervical instability etiology of human disease from the forward head-facedown lifestyle: emphasis on obstruction of fluid flow into and out of the brain.,Front Neurol,2024,10.3389/fneur.2024.1430390
11575251,PMC11575251,Catatonia in anti-NMDA receptor encephalitis: a case series and approach to improve outcomes with electroconvulsive therapy.,BMJ Neurol Open,2024,10.1136/bmjno-2024-000812
11543367,PMC11543367,Unveiling the Devastating Impact of Atypical and Rapidly Evolving Guillain-Barre Syndrome: A Report of Two Cases.,Cureus,2024 Oct,10.7759/cureus.71057
11542473,PMC11542473,Paralytic Ileus as the Initial Presentation of Guillain-Barre Syndrome: A Rare Case Report.,Int Med Case Rep J,2024,10.2147/IMCRJ.S483673
11452076,PMC11452076,Systemic amyloidosis: an aggressive evolution in a patient with relapsing polychondritis and monoclonal gammopathy of undetermined significance (MGUS) undergoing peritoneal dialysis.,Autops Case Rep,2024,10.4322/acr.2024.518
11443310,PMC11443310,Cardiovascular dysautonomia and cognitive impairment in Parkinson's disease (Review).,Med Int (Lond),2024 Nov-Dec,10.3892/mi.2024.194
11410636,PMC11410636,Long COVID and hypermobility spectrum disorders have shared pathophysiology.,Front Neurol,2024,10.3389/fneur.2024.1455498
11281408,PMC11281408,Clinical and Diagnostic Features of Post-Acute COVID-19 Vaccination Syndrome (PACVS).,Vaccines (Basel),2024 Jul 18,10.3390/vaccines12070790
11156247,PMC11156247,Anti-CASPR2 Antibody-Associated Syndrome Presenting With Episodic Ataxia.,Cureus,2024 May,10.7759/cureus.59821
11146140,PMC11146140,Gut Microbiome Alterations Accompany Metabolic Normalization Following Bariatric Surgery in ROHHAD Syndrome.,JCEM Case Rep,2024 Jun,10.1210/jcemcr/luae091
11102770,PMC11102770,Neurological and Cardiovascular Complications Revealing Biermer's Disease: A Case Report.,Cureus,2024 Apr,10.7759/cureus.58601
11099645,PMC11099645,A Closer Look at Familial Dysautonomia from a Social Communication Perspective: A Case Report and Review of Literature.,Psychiatry Clin Psychopharmacol,2022 Jun,10.5152/pcp.2022.21210
11095771,PMC11095771,Management of childbearing with hypermobile Ehlers-Danlos syndrome and hypermobility spectrum disorders: A scoping review and expert co-creation of evidence-based clinical guidelines.,PLoS One,2024,10.1371/journal.pone.0302401
11088969,PMC11088969,The Clinical Course of a Severe Case of Malignant Catatonia.,Cureus,2024 Apr,10.7759/cureus.58142
11082696,PMC11082696,Thrombosis With Thrombocytopenia and Post-COVID-Vaccination Syndrome With Anti-G-Protein-Coupled Receptor (GPCR) Antibodies Treated With Therapeutic Plasma Exchange.,Cureus,2024 May,10.7759/cureus.60019
11018973,PMC11018973,A novel termination site in a case of Stüve-Wiedemann syndrome: case report and review of literature.,Front Pediatr,2024,10.3389/fped.2024.1341841
10994395,PMC10994395,Long-term outcomes of hospitalized patients with SARS-CoV-2/COVID-19 with and without neurological involvement: 3-year follow-up assessment.,PLoS Med,2024 Apr,10.1371/journal.pmed.1004263
10990027,PMC10990027,Complete remission with histamine blocker in a patient with intractable hyperadrenergic postural orthostatic tachycardia syndrome secondary to long coronavirus disease syndrome.,J Hypertens,2024 May 1,10.1097/HJH.0000000000003669
10981078,PMC10981078,"Myocarditis, Coagulopathy, and Small Fibre, Sensory, and Multiple Cranial Nerve Neuropathy Complicating BNT162b2 Vaccination: A Case Report.",Cureus,2024 Feb,10.7759/cureus.55205
10950913,PMC10950913,Case report: Rapid recovery after intrathecal rituximab administration in refractory anti-NMDA receptor encephalitis: report of two cases.,Front Immunol,2024,10.3389/fimmu.2024.1369587
10938911,PMC10938911,Isolated insular stroke: topography is the answer with respect to outcome and cardiac involvement.,Front Neurol,2024,10.3389/fneur.2024.1332382
10901262,PMC10901262,Primary autonomic failure: a complex case of orthostatic hypotension in a hypertensive elderly patient.,Eur Heart J Case Rep,2024 Feb,10.1093/ehjcr/ytae073
10883079,PMC10883079,Dysautonomia following Lyme disease: a key component of post-treatment Lyme disease syndrome?,Front Neurol,2024,10.3389/fneur.2024.1344862
10875021,PMC10875021,Abnormal quantitative sudomotor axon reflex test results in patients with tinnitus as a possible indicator of small fiber neuropathy.,Front Neurol,2024,10.3389/fneur.2024.1297371
10849078,PMC10849078,Radiofrequency venous ablation for symptomatic relief in postural orthostatic tachycardia syndrome: a case series.,Eur Heart J Case Rep,2024 Feb,10.1093/ehjcr/ytae029
10832396,PMC10832396,Oral manifestation in a pediatric patient with pentasomy x. A case report.,Rev Cient Odontol (Lima),2023 Jan-Mar,10.21142/2523-2754-1101-2023-147
10710877,PMC10710877,Guillain-Barré Syndrome Presenting as Symmetrical Proximal Muscle Weakness: An Atypical Presentation.,Cureus,2023 Dec,10.7759/cureus.50259
10689019,PMC10689019,Evaluation of peripheral nerve involvements in patients with familial Mediterranean fever.,Arch Rheumatol,2023 Sep,10.46497/ArchRheumatol.2023.9695
10658769,PMC10658769,A case of erythromelalgia with gastrointestinal dysautonomia treated with immunoglobulin: A case report.,SAGE Open Med Case Rep,2023,10.1177/2050313X231213137
10632209,PMC10632209,Sensory neuropathy in amyotrophic lateral sclerosis: a systematic review.,J Neurol,2023 Dec,10.1007/s00415-023-11954-1
10674626,PMC10674626,Chronic Fatigue and Dysautonomia following COVID-19 Vaccination Is Distinguished from Normal Vaccination Response by Altered Blood Markers.,Vaccines (Basel),2023 Oct 26,10.3390/vaccines11111642
10545146,PMC10545146,Guillain-Barré Syndrome Complicated by Posterior Reversible Encephalopathy Syndrome and Reversible Cerebral Vasoconstriction Syndrome.,Eur J Case Rep Intern Med,2023,10.12890/2023_003949
10662276,PMC10662276,Steroids in Headache: A Comprehensive Review of Recent Research.,Ann Neurosci,2023 Oct,10.1177/09727531231173286
10505932,PMC10505932,"Transcriptome profiling of intact bowel wall reveals that PDE1A and SEMA3D are possible markers with roles in enteric smooth muscle apoptosis, proliferative disorders, and dysautonomia in Crohn's disease.",Front Genet,2023,10.3389/fgene.2023.1194882
10467287,PMC10467287,Postural orthostatic tachycardia syndrome and other related dysautonomic disorders after SARS-CoV-2 infection and after COVID-19 messenger RNA vaccination.,Front Neurol,2023,10.3389/fneur.2023.1221518
10405875,PMC10405875,"Anti-N-Methyl-D-Aspartate Receptor Encephalitis, A Diagnosis Not To Miss.",Eur J Case Rep Intern Med,2023,10.12890/2023_003974
10377413,PMC10377413,The Relationship between Paresthesia and the Presence of Cardiac Dysautonomia in Patients with Post-COVID-19 Syndrome: A Preliminary Observational Study.,Brain Sci,2023 Jul 20,10.3390/brainsci13071095
10359064,PMC10359064,A case of eosinophilic granulomatous polyangiitis with concurrent central and peripheral nervous system involvement.,Oxf Med Case Reports,2023 Jul,10.1093/omcr/omad067
10332885,PMC10332885,COVID-19-Induced Postural Orthostatic Tachycardia Syndrome and Dysautonomia.,Cureus,2023 Jun,10.7759/cureus.40235
10328630,PMC10328630,Amyotrophic lateral sclerosis with respiratory failure and dysautonomia: a case report.,Ann Med Surg (Lond),2023 Jul,10.1097/MS9.0000000000000889
10297082,PMC10297082,Treatments of COVID-19-Associated Taste and Saliva Secretory Disorders.,Dent J (Basel),2023 May 25,10.3390/dj11060140
10289121,PMC10289121,[The role of the cardiopulmonary exercise test and pulmonary rehabilitation in long COVID-19].,Rev Mal Respir,2023 Sep,10.1016/j.rmr.2023.05.003
10289141,PMC10289141,Ivabradine for inappropriate sinus tachycardia-induced symptomatic Mobitz type I atrio-ventricular block: a case summary.,Eur Heart J Case Rep,2023 Jun,10.1093/ehjcr/ytad192
10193105,PMC10193105,Guillain-Barré syndrome associated with SARS-CoV-2 vaccination: how is it different? a systematic review and individual participant data meta-analysis.,Clin Exp Vaccine Res,2023 Apr,10.7774/cevr.2023.12.2.143
10129990,PMC10129990,Pathogenesis of acute encephalopathy in acute hepatic porphyria.,J Neurol,2023 May,10.1007/s00415-023-11586-5
10090716,PMC10090716,Post-acute sequelae of SARS-CoV-2 syndrome presenting as postural orthostatic tachycardia syndrome.,Clin Exp Emerg Med,2023 Mar,10.15441/ceem.22.409
10092280,PMC10092280,Severe distinct dysautonomia in RFC1-related disease associated with Parkinsonism.,J Peripher Nerv Syst,2022 Dec,10.1111/jns.12515
10073441,PMC10073441,HIDEA syndrome: A new case report highlighting similarities with ROHHAD syndrome.,Front Genet,2023,10.3389/fgene.2023.1137767
10063196,PMC10063196,Thinking beyond otorhinolaryngology in patients presenting with bilateral vocal cord paresis.,J Surg Case Rep,2023 Mar,10.1093/jscr/rjad140
10032659,PMC10032659,Pathogenic mechanisms of post-acute sequelae of SARS-CoV-2 infection (PASC).,Elife,2023 Mar 22,10.7554/eLife.86002
10001044,PMC10001044,Pathogenesis Underlying Neurological Manifestations of Long COVID Syndrome and Potential Therapeutics.,Cells,2023 Mar 6,10.3390/cells12050816
9996477,PMC9996477,Consider Alternative Causes of Death to SARS-CoV-2 Vaccination-Related Guillain-Barre Syndrome without Dysautonomia.,Ann Indian Acad Neurol,2022 Nov-Dec,10.4103/aian.aian_585_22
9925924,PMC9925924,An interval of clinically silent gastrointestinal bleed in dysautonomic spinal cord injury: a case report.,BMC Neurol,2023 Feb 14,10.1186/s12883-023-03114-9
9912584,PMC9912584,The genetic basis of multiple system atrophy.,J Transl Med,2023 Feb 10,10.1186/s12967-023-03905-1
9901229,PMC9901229,Beyond Acute COVID-19: A Review of Long-term Cardiovascular Outcomes.,Can J Cardiol,2023 Jun,10.1016/j.cjca.2023.01.031
9894319,PMC9894319,Morvan's syndrome: An unusual presentation of a solid pseudopapillary pancreatic tumor.,J Neurosci Rural Pract,2022 Oct-Dec,10.25259/JNRP-2022-3-49
9871405,PMC9871405,A case of dysautonomia after COVID-19 infection in a patient with poorly controlled type I diabetes.,Clin Case Rep,2023 Jan,10.1002/ccr3.6889
9821608,PMC9821608,Autonomic Nerve Involvement in Post-Acute Sequelae of SARS-CoV-2 Syndrome (PASC).,J Clin Med,2022 Dec 22,10.3390/jcm12010073
9789535,PMC9789535,Investigating the possible mechanisms of autonomic dysfunction post-COVID-19.,Auton Neurosci,2023 Mar,10.1016/j.autneu.2022.103071
9757526,PMC9757526,Herpes Simplex Virus-2 Encephalitis Complicated with Multiple Cranial Neuritis and Dysautonomia.,J Pediatr Neurosci,2021 Oct-Dec,10.4103/jpn.JPN_239_20
9636886,PMC9636886,Experience With Dexmedetomidine Use in the Treatment of Dysautonomic Crisis in Familial Dysautonomia: An Off-Label Use.,Cureus,2022 Oct,10.7759/cureus.29988
9587697,PMC9587697,A Rarely Occurring Spinal Fracture Precipitated by Generalized Spasms of Tetanus Patient with Spondylitis Tuberculosis.,Int Med Case Rep J,2022,10.2147/IMCRJ.S367615
9566583,PMC9566583,Neuroleptic Malignant Syndrome: A case report and a literature review.,Eur Psychiatry,2022 Jun,10.1192/j.eurpsy.2022.1506
9471950,PMC9471950,ROHHAD syndrome without rapid-onset obesity: A diagnosis challenge.,Front Pediatr,2022,10.3389/fped.2022.910099
9267913,PMC9267913,Autonomic Dysfunction during Acute SARS-CoV-2 Infection: A Systematic Review.,J Clin Med,2022 Jul 4,10.3390/jcm11133883
9249797,PMC9249797,Dysautonomia following breast surgery: Disproportionate response to postoperative hematoma.,Surg Open Sci,2022 Oct,10.1016/j.sopen.2022.05.011
9239654,PMC9239654,Clinical Improvement With Pyridostigmine in a Patient With Acetylcholine Receptor Antibody-Associated Autoimmune Gastrointestinal Dysmotility.,ACG Case Rep J,2022 Jun,10.14309/crj.0000000000000796
9142938,PMC9142938,Prevention and Treatment of Life-Threatening COVID-19 May Be Possible with Oxygen Treatment.,Life (Basel),2022 May 19,10.3390/life12050754
9035955,PMC9035955,Isaac Syndrome with Intractable Neuropathic Pain Features: A Case Report.,Case Rep Neurol,2022 Jan-Apr,10.1159/000523821
9004329,PMC9004329,Hypoglycemia as a Manifestation of Shapiro Syndrome.,Cureus,2022 Mar,10.7759/cureus.23120
8892817,PMC8892817,Severe Post-COVID-19 dysautonomia: a case report.,BMC Infect Dis,2022 Mar 3,10.1186/s12879-022-07181-0
8859684,PMC8859684,Neurological manifestations of long-COVID syndrome: a narrative review.,Ther Adv Chronic Dis,2022,10.1177/20406223221076890
8787981,PMC8787981,Thromboembolism and bleeding in systemic amyloidosis: a review.,ESC Heart Fail,2022 Feb,10.1002/ehf2.13701
8791656,PMC8791656,Extrapleural pneumonectomy for recurrent thymoma diagnosed after return of paraneoplastic Morvan syndrome.,J Surg Case Rep,2022 Jan,10.1093/jscr/rjab636
8719840,PMC8719840,Acute and chronic neurological disorders in COVID-19: potential mechanisms of disease.,Brain,2021 Dec 31,10.1093/brain/awab302
8636096,PMC8636096,Is Fecal Calprotectin an Applicable Biomarker of Gut Immune System Activation in Chronic Inflammatory Demyelinating Polyneuropathy? - A Pilot Study.,Front Hum Neurosci,2021,10.3389/fnhum.2021.733070
8621226,PMC8621226,Post-Acute Sequelae of COVID-19 and Cardiovascular Autonomic Dysfunction: What Do We Know?,J Cardiovasc Dev Dis,2021 Nov 15,10.3390/jcdd8110156
8586167,PMC8586167,Covid-19-Induced Dysautonomia: A Menace of Sympathetic Storm.,ASN Neuro,2021 Jan-Dec,10.1177/17590914211057635
8574172,PMC8574172,"Paroxysmal hyperthermia, dysautonomia and rhabdomyolysis in a patient with Lesch-Nyhan syndrome.",JIMD Rep,2021 Nov,10.1002/jmd2.12249
8528759,PMC8528759,A historical review of multiple system atrophy with a critical appraisal of cellular and animal models.,J Neural Transm (Vienna),2021 Oct,10.1007/s00702-021-02419-8
8546774,PMC8546774,Connecting brain and body: Transdiagnostic relevance of connective tissue variants to neuropsychiatric symptom expression.,World J Psychiatry,2021 Oct 19,10.5498/wjp.v11.i10.805
8495661,PMC8495661,Bilateral Facial Palsy and Hyperreflexia as the Main Clinical Presentation in Guillain-Barré Syndrome.,Am J Case Rep,2021 Oct 1,10.12659/AJCR.932757
8435208,PMC8435208,COVID-19-Associated Dysautonomia.,Cureus,2021 Aug,10.7759/cureus.17156
8314124,PMC8314124,"Dysautonomia Causing Severe Orthostatic Hypotension: An Important, Early Finding in Neurodegenerative Disorders.",JACC Case Rep,2021 Jul 21,10.1016/j.jaccas.2021.03.006
8405341,PMC8405341,Clinical and Laboratory Improvement in Hyperadrenergic Postural Orthostatic Tachycardia Syndrome (POTS) after COVID-19 Infection.,Case Rep Cardiol,2021,10.1155/2021/7809231
8377226,PMC8377226,Autoimmune dysautonomia secondary to chronic organophosphate exposure.,HeartRhythm Case Rep,2021 Aug,10.1016/j.hrcr.2021.04.012
8355408,PMC8355408,Progressive Encephalomyelitis with Rigidity and Myoclonus (PERM)-like Symptoms Associated with Anti-ganglionic Acetylcholine Receptor Antibodies.,Intern Med,2021 Jul 15,10.2169/internalmedicine.6419-20
8360673,PMC8360673,Downregulation of M Current Is Coupled to Membrane Excitability in Sympathetic Neurons Before the Onset of Hypertension.,Hypertension,2020 Dec,10.1161/HYPERTENSIONAHA.120.15922
8366070,PMC8366070,I drank too much and now I can't walk: a case of alcohol-induced dysautonomia.,Oxf Med Case Reports,2021 Aug,10.1093/omcr/omab072
8324066,PMC8324066,Takotsubo Cardiomyopathy as a Manifestation of Dysautonomia in Guillain-Barré Syndrome: A Case Series and Review of the Literature.,Cureus,2021 Jun,10.7759/cureus.16069
8327798,PMC8327798,Intensive Care Management of Severe Tetanus.,Indian J Crit Care Med,2021 May,10.5005/jp-journals-10071-23829
8294874,PMC8294874,Autoimmune Gastrointestinal Dysmotility in a Patient With HIV Treated With Methylprednisolone and Pyridostigmine.,ACG Case Rep J,2021 Jul,10.14309/crj.0000000000000636
8229039,PMC8229039,A Systematic Review and Meta-Analysis of Immunoglobulin G Abnormalities and the Therapeutic Use of Intravenous Immunoglobulins (IVIG) in Autism Spectrum Disorder.,J Pers Med,2021 May 30,10.3390/jpm11060488
8121406,PMC8121406,Dysautonomia: A Forgotten Condition - Part 1.,Arq Bras Cardiol,2021 Apr,10.36660/abc.20200420
8117457,PMC8117457,COVID and Cardiovascular Disease: What We Know in 2021.,Curr Atheroscler Rep,2021 May 13,10.1007/s11883-021-00935-2
8076737,PMC8076737,COVID-19 Dysautonomia.,Front Neurol,2021,10.3389/fneur.2021.624968
8072212,PMC8072212,Case Report: Autoimmune Encephalitis Associated With Anti-glutamic Acid Decarboxylase Antibodies: A Pediatric Case Series.,Front Neurol,2021,10.3389/fneur.2021.641024
8043872,PMC8043872,Clinical presentation of strokes confined to the insula: a systematic review of literature.,Neurol Sci,2021 May,10.1007/s10072-021-05109-1
8045944,PMC8045944,gAChR antibodies in children and adolescents with acquired autoimmune dysautonomia in Japan.,Ann Clin Transl Neurol,2021 Apr,10.1002/acn3.51317
7987407,PMC7987407,Tetanus Complicated by Dysautonomia: A Case Report and Review of Management.,Case Rep Crit Care,2021,10.1155/2021/8842522
7895682,PMC7895682,Acute transverse myelitis with Dysautonomia following SARS-CoV-2 infection: A case report and review of literature.,J Neuroimmunol,2021 Apr 15,10.1016/j.jneuroim.2021.577523
7882462,PMC7882462,Peripheral Nervous System Manifestations Associated with COVID-19.,Curr Neurol Neurosci Rep,2021 Feb 14,10.1007/s11910-021-01102-5
7750571,PMC7750571,A comprehensive review of the treatment and management of Charcot spine.,Ther Adv Musculoskelet Dis,2020,10.1177/1759720X20979497
7592686,PMC7592686,Management of Visual Dysfunction in Patients with Parkinson's Disease.,J Parkinsons Dis,2020,10.3233/JPD-202103
7470792,PMC7470792,Neurology of COVID-19 in Singapore.,J Neurol Sci,2020 Nov 15,10.1016/j.jns.2020.117118
7443652,PMC7443652,Bilateral XEN Gel Stent Implantation in Juvenile-Onset Open-Angle Glaucoma.,Case Rep Ophthalmol,2020 May-Aug,10.1159/000508391
7411456,PMC7411456,"A Patient with Double-Negative VGKC, Peripheral Nerve Hyperexcitability, and Central Nervous System Symptoms: A Postinfectious Autoimmune Disease.",Case Rep Neurol Med,2020,10.1155/2020/3579419
7402655,PMC7402655,Neuromuscular disorders in pregnancy.,Handb Clin Neurol,2020,10.1016/B978-0-444-64240-0.00012-X
7220732,PMC7220732,Hydrocephalus in Guillain barre syndrome: A case report and review of the literature.,Medicine (Baltimore),2020 Apr,10.1097/MD.0000000000018638
7249364,PMC7249364,Rhombencephalitis associated with isolated Zic4-antibodies in Paraneoplastic cerebellar degeneration: a case report.,BMC Neurol,2020 May 25,10.1186/s12883-020-01788-z
7203783,PMC7203783,Tumor Necrosis Factor-Alpha Signaling May Contribute to Chronic West Nile Virus Post-infectious Proinflammatory State.,Front Med (Lausanne),2020,10.3389/fmed.2020.00164
7204150,PMC7204150,NMDAR Encephalitis Associated With Acute Chikungunya Virus Infection: A New Trigger?,Front Pediatr,2020,10.3389/fped.2020.00176
7073227,PMC7073227,Ganglionic Acetylcholine Receptor Antibodies and Autonomic Dysfunction in Autoimmune Rheumatic Diseases.,Int J Mol Sci,2020 Feb 16,10.3390/ijms21041332
6955191,PMC6955191,A Novel Approach in Spinal Cord Stimulation for Enhancing Gastric Motility: A Preliminary Study on Canines.,J Neurogastroenterol Motil,2020 Jan 30,10.5056/jnm19101
6839309,PMC6839309,Comorbidities and Long-Term Outcomes in a Cohort with Myasthenic Crisis: Experiences from a Tertiary Care Center.,Ann Indian Acad Neurol,2019 Oct-Dec,10.4103/aian.AIAN_197_19
6783555,PMC6783555,Anti-IgLON5 Disease: A Case With 11-Year Clinical Course and Review of the Literature.,Front Neurol,2019,10.3389/fneur.2019.01056
6763501,PMC6763501,Harlequin Syndrome after Thoracoscopic Repair of a Child with Tracheoesophageal Fistula (TEF).,European J Pediatr Surg Rep,2019 Jan,10.1055/s-0039-1697667
6739709,PMC6739709,"Insomnia and Dysautonomia with Contactin-Associated Protein 2 and Leucine-Rich Glioma Inactivated Protein 1 Antibodies: A ""Forme Fruste"" of Morvan Syndrome?",Case Rep Neurol,2019 Jan-Apr,10.1159/000497817
6591518,PMC6591518,Two Cases of Guillain-Barré Syndrome Variants Presenting With Dysautonomia.,Child Neurol Open,2019,10.1177/2329048X19856778
6529729,PMC6529729,Cardiac dysautonomia in depression - heart rate variability biofeedback as a potential add-on therapy.,Neuropsychiatr Dis Treat,2019,10.2147/NDT.S200360
6440259,PMC6440259,"A rare iatrogenic association of syndrome of inappropriate secretion of antidiuretic hormone, neuroleptic malignant syndrome and rhabdomyolysis.",Oxf Med Case Reports,2019 Mar,10.1093/omcr/omz010
6429638,PMC6429638,Guillain-Barré syndrome with unilateral peripheral facial and bulbar palsy in a child: A case report.,SAGE Open Med Case Rep,2019,10.1177/2050313X19838750
6346961,PMC6346961,Dysautonomia: an Explanation for the Medically Unexplained?,Eur J Case Rep Intern Med,2016,10.12890/2016_000430
6348877,PMC6348877,A Novel Mutation in the Adult-Onset Alexander's Disease GFAP Gene.,Case Rep Med,2019,10.1155/2019/2986538
6298246,PMC6298246,"Individualized Homeopathic Therapy in a Case of Obesity, Dysfunctional Uterine Bleeding, and Autonomic Dystonia.",Am J Case Rep,2018 Dec 12,10.12659/AJCR.913328
5852325,PMC5852325,Improvement of chronic corneal opacity in ocular surface disease with prosthetic replacement of the ocular surface ecosystem (PROSE) treatment.,Am J Ophthalmol Case Rep,2018 Jun,10.1016/j.ajoc.2018.02.010
5843381,PMC5843381,Managing Postural Hypotension in Diabetic Autonomic Dysfunction When Adrenergic Drugs are Contraindicated: Case Report and Review of Literature.,Cureus,2018 Jan 8,10.7759/cureus.2039
5683266,PMC5683266,Gastrointestinal symptoms and autism spectrum disorder: links and risks - a possible new overlap syndrome.,Pediatric Health Med Ther,2015,10.2147/PHMT.S85717
5641386,PMC5641386,Autonomic Dysfunction in Wilson's Disease: A Comprehensive Evaluation during a 3-Year Follow Up.,Front Physiol,2017,10.3389/fphys.2017.00778
5516616,PMC5516616,The effect of deep brain stimulation on the non-motor symptoms of Parkinson's disease: a critical review of the current evidence.,NPJ Parkinsons Dis,2017,10.1038/npjparkd.2016.24
